Date : 2021-12-24 18:29:58
Directory : c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe
Total : 83 files,  4448 codes, 234 comments, 501 blanks, all 5183 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         38 |      2,989 |         54 |        303 |      3,346 |
| XML        |         18 |        550 |         50 |         12 |        612 |
| C++        |         11 |        408 |         80 |        132 |        620 |
| JSON       |          5 |        226 |          4 |          3 |        233 |
| HTML       |          1 |        102 |         18 |          9 |        129 |
| Groovy     |          3 |         95 |          3 |         22 |        120 |
| YAML       |          2 |         45 |         24 |          7 |         76 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |         83 |      4,448 |        234 |        501 |      5,183 |
| android                                                                                                                  |         16 |        218 |         48 |         33 |        299 |
| android\app                                                                                                              |         12 |        174 |         47 |         22 |        243 |
| android\app\src                                                                                                          |         10 |         76 |         44 |          9 |        129 |
| android\app\src\debug                                                                                                    |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                     |          8 |         68 |         38 |          7 |        113 |
| android\app\src\main\res                                                                                                 |          7 |         40 |         32 |          6 |         78 |
| android\app\src\main\res\drawable                                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\mipmap-anydpi-v26                                                                               |          2 |         10 |          0 |          0 |         10 |
| android\app\src\main\res\values                                                                                          |          2 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                  |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                           |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                   |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                   |          6 |        413 |          4 |          1 |        418 |
| assets\icons                                                                                                             |          6 |        413 |          4 |          1 |        418 |
| ios                                                                                                                      |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                               |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                               |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                            |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                          |          2 |         26 |          0 |          3 |         29 |
